Time,unit_Time,Cella_1,unit_1,Cella_2,unit_2,Cella_3,unit_3,Cella_4,unit_4,SG600_main,unit_main,SG600_temp,unit_temp
0.01083,s,0.0,mV,-3.25,mV,0.0,mV,-0.07,mV,1,mV,1,mV
0.11452,s,0.0,mV,-3.24,mV,0.0,mV,-0.07,mV,1,mV,1,mV
0.21614,s,0.0,mV,-3.24,mV,0.0,mV,-0.07,mV,1,mV,1,mV
0.31738,s,0.0,mV,-3.24,mV,0.0,mV,-0.07,mV,1,mV,1,mV
0.41849,s,0.0,mV,-3.24,mV,0.0,mV,-0.07,mV,1,mV,1,mV
0.51971,s,0.0,mV,-3.24,mV,0.0,mV,-0.07,mV,1,mV,1,mV
0.62152,s,0.0,mV,-3.24,mV,0.0,mV,-0.07,mV,1,mV,1,mV
0.72438,s,0.0,mV,-3.25,mV,0.0,mV,-0.07,mV,1,mV,1,mV
0.82563,s,0.0,mV,-3.25,mV,0.0,mV,-0.07,mV,1,mV,1,mV
0.9265,s,0.0,mV,-3.25,mV,0.0,mV,-0.07,mV,1,mV,1,mV
1.02765,s,0.0,mV,-3.25,mV,0.0,mV,-0.07,mV,1,mV,1,mV
1.12944,s,0.0,mV,-3.25,mV,0.0,mV,-0.07,mV,1,mV,1,mV
1.23052,s,0.0,mV,-3.25,mV,0.0,mV,-0.07,mV,1,mV,1,mV
1.33482,s,0.0,mV,-3.25,mV,0.0,mV,-0.07,mV,1,mV,1,mV
1.43795,s,0.0,mV,-3.25,mV,0.0,mV,-0.07,mV,1,mV,1,mV
1.53978,s,0.0,mV,-3.24,mV,0.0,mV,-0.07,mV,1,mV,1,mV
1.6455,s,0.0,mV,-3.24,mV,0.0,mV,-0.07,mV,1,mV,1,mV
1.74827,s,0.0,mV,-3.24,mV,0.0,mV,-0.07,mV,1,mV,1,mV
1.85621,s,0.0,mV,-3.24,mV,0.0,mV,-0.07,mV,1,mV,1,mV
1.96364,s,0.0,mV,-3.24,mV,0.0,mV,-0.07,mV,1,mV,1,mV
2.06738,s,0.0,mV,-3.24,mV,0.0,mV,-0.07,mV,1,mV,1,mV
2.1705,s,0.0,mV,-3.25,mV,0.0,mV,-0.07,mV,1,mV,1,mV
2.27401,s,0.0,mV,-3.25,mV,0.0,mV,-0.07,mV,1,mV,1,mV
2.37706,s,0.0,mV,-3.25,mV,0.0,mV,-0.07,mV,1,mV,1,mV
2.48003,s,0.0,mV,-3.25,mV,0.0,mV,-0.07,mV,1,mV,1,mV
2.5885,s,0.0,mV,-3.25,mV,0.0,mV,-0.07,mV,1,mV,1,mV
2.69053,s,0.0,mV,-3.25,mV,0.0,mV,-0.07,mV,1,mV,1,mV
2.79263,s,0.0,mV,-3.25,mV,0.0,mV,-0.07,mV,1,mV,1,mV
2.89715,s,0.0,mV,-3.25,mV,0.0,mV,-0.07,mV,1,mV,1,mV
3.0018,s,0.0,mV,-3.24,mV,0.0,mV,-0.07,mV,1,mV,1,mV
3.10347,s,0.0,mV,-3.24,mV,0.0,mV,-0.07,mV,1,mV,1,mV
3.20547,s,0.0,mV,-3.24,mV,0.0,mV,-0.07,mV,1,mV,1,mV
3.30632,s,0.0,mV,-3.24,mV,0.0,mV,-0.07,mV,1,mV,1,mV
3.40753,s,0.0,mV,-3.24,mV,0.0,mV,-0.07,mV,1,mV,1,mV
3.51167,s,0.0,mV,-3.24,mV,0.0,mV,-0.07,mV,1,mV,1,mV
3.61301,s,0.0,mV,-3.24,mV,0.0,mV,-0.07,mV,1,mV,1,mV
3.71393,s,0.0,mV,-3.24,mV,0.0,mV,-0.07,mV,1,mV,1,mV
3.81601,s,0.0,mV,-3.25,mV,0.0,mV,-0.07,mV,1,mV,1,mV
3.91874,s,0.0,mV,-3.25,mV,0.0,mV,-0.07,mV,1,mV,1,mV
4.02555,s,0.0,mV,-3.25,mV,0.0,mV,-0.07,mV,1,mV,1,mV
4.12698,s,0.0,mV,-3.25,mV,0.0,mV,-0.07,mV,1,mV,1,mV
4.22857,s,0.0,mV,-3.25,mV,0.0,mV,-0.07,mV,1,mV,1,mV
4.33026,s,0.0,mV,-3.25,mV,0.0,mV,-0.07,mV,1,mV,1,mV
4.4434,s,0.0,mV,-3.25,mV,0.0,mV,-0.07,mV,1,mV,1,mV
4.54453,s,0.0,mV,-3.25,mV,0.0,mV,-0.07,mV,1,mV,1,mV
4.64547,s,0.0,mV,-3.24,mV,0.0,mV,-0.07,mV,1,mV,1,mV
4.7465,s,0.0,mV,-3.24,mV,0.0,mV,-0.07,mV,1,mV,1,mV
4.84994,s,0.0,mV,-3.24,mV,0.0,mV,-0.07,mV,1,mV,1,mV
4.95266,s,0.0,mV,-3.24,mV,0.0,mV,-0.07,mV,1,mV,1,mV
5.05398,s,0.0,mV,-3.24,mV,0.0,mV,-0.07,mV,1,mV,1,mV
5.15517,s,0.0,mV,-3.24,mV,0.0,mV,-0.07,mV,1,mV,1,mV
5.25647,s,0.0,mV,-3.25,mV,0.0,mV,-0.08,mV,1,mV,1,mV
5.35743,s,0.0,mV,-3.25,mV,0.0,mV,-0.07,mV,1,mV,1,mV
5.45935,s,0.0,mV,-3.25,mV,0.0,mV,-0.07,mV,1,mV,1,mV
5.56099,s,0.0,mV,-3.25,mV,0.0,mV,-0.07,mV,1,mV,1,mV
5.66202,s,0.0,mV,-3.25,mV,0.0,mV,-0.07,mV,1,mV,1,mV
5.76507,s,0.0,mV,-3.25,mV,0.0,mV,-0.07,mV,1,mV,1,mV
5.86871,s,0.0,mV,-3.25,mV,0.0,mV,-0.07,mV,1,mV,1,mV
5.96997,s,0.0,mV,-3.24,mV,0.0,mV,-0.07,mV,1,mV,1,mV
6.0723,s,0.0,mV,-3.24,mV,0.0,mV,-0.07,mV,1,mV,1,mV
6.17323,s,0.0,mV,-3.24,mV,0.0,mV,-0.07,mV,1,mV,1,mV
6.2749,s,0.0,mV,-3.24,mV,0.0,mV,-0.07,mV,1,mV,1,mV
6.37812,s,0.0,mV,-3.24,mV,0.0,mV,-0.07,mV,1,mV,1,mV
6.4873,s,0.0,mV,-3.24,mV,0.0,mV,-0.07,mV,1,mV,1,mV
6.58994,s,0.0,mV,-3.25,mV,0.0,mV,-0.07,mV,1,mV,1,mV
6.69119,s,0.0,mV,-3.25,mV,0.0,mV,-0.07,mV,1,mV,1,mV
6.79214,s,0.0,mV,-3.25,mV,0.0,mV,-0.07,mV,1,mV,1,mV
6.89688,s,0.0,mV,-3.25,mV,0.0,mV,-0.07,mV,1,mV,1,mV
7.00249,s,0.0,mV,-3.25,mV,0.0,mV,-0.07,mV,1,mV,1,mV
7.10352,s,0.0,mV,-3.25,mV,0.0,mV,-0.07,mV,1,mV,1,mV
7.2043,s,0.0,mV,-3.25,mV,0.0,mV,-0.07,mV,1,mV,1,mV
7.30526,s,0.0,mV,-3.25,mV,0.0,mV,-0.07,mV,1,mV,1,mV
7.40651,s,0.0,mV,-3.24,mV,0.0,mV,-0.07,mV,1,mV,1,mV
7.50778,s,0.0,mV,-3.24,mV,0.0,mV,-0.07,mV,1,mV,1,mV
7.60878,s,0.0,mV,-3.25,mV,0.0,mV,-0.07,mV,1,mV,1,mV
7.70986,s,0.0,mV,-3.25,mV,0.0,mV,-0.07,mV,1,mV,1,mV
7.812,s,0.0,mV,-3.24,mV,0.0,mV,-0.07,mV,1,mV,1,mV
7.91308,s,0.0,mV,-3.24,mV,0.0,mV,-0.07,mV,1,mV,1,mV
8.01406,s,0.0,mV,-3.24,mV,0.0,mV,-0.07,mV,1,mV,1,mV
8.11785,s,0.0,mV,-3.24,mV,0.0,mV,-0.07,mV,1,mV,1,mV
8.22038,s,0.0,mV,-3.25,mV,0.0,mV,-0.07,mV,1,mV,1,mV
8.32194,s,0.0,mV,-3.25,mV,0.0,mV,-0.07,mV,1,mV,1,mV
8.42299,s,0.0,mV,-3.25,mV,0.0,mV,-0.07,mV,1,mV,1,mV
8.52424,s,0.0,mV,-3.25,mV,0.0,mV,-0.07,mV,1,mV,1,mV
8.62495,s,0.0,mV,-3.25,mV,0.0,mV,-0.07,mV,1,mV,1,mV
8.73004,s,0.0,mV,-3.25,mV,0.0,mV,-0.07,mV,1,mV,1,mV
8.83314,s,0.0,mV,-3.25,mV,0.0,mV,-0.07,mV,1,mV,1,mV
8.93576,s,0.0,mV,-3.25,mV,0.0,mV,-0.07,mV,1,mV,1,mV
9.03714,s,0.0,mV,-3.24,mV,0.0,mV,-0.07,mV,1,mV,1,mV
9.13988,s,0.0,mV,-3.24,mV,0.0,mV,-0.07,mV,1,mV,1,mV
9.24179,s,0.0,mV,-3.24,mV,0.0,mV,-0.07,mV,1,mV,1,mV
9.34273,s,0.0,mV,-3.24,mV,0.0,mV,-0.07,mV,1,mV,1,mV
9.44431,s,0.0,mV,-3.24,mV,0.0,mV,-0.07,mV,1,mV,1,mV
9.54562,s,0.0,mV,-3.24,mV,0.0,mV,-0.07,mV,1,mV,1,mV
9.6465,s,0.0,mV,-3.25,mV,0.0,mV,-0.08,mV,1,mV,1,mV
9.74717,s,0.0,mV,-3.25,mV,0.0,mV,-0.08,mV,1,mV,1,mV
9.85171,s,0.0,mV,-3.25,mV,0.0,mV,-0.07,mV,1,mV,1,mV
9.95444,s,0.0,mV,-3.25,mV,0.0,mV,-0.07,mV,1,mV,1,mV
10.05832,s,0.0,mV,-3.25,mV,0.0,mV,-0.07,mV,1,mV,1,mV
10.15906,s,0.0,mV,-3.25,mV,0.0,mV,-0.07,mV,1,mV,1,mV
10.26022,s,0.0,mV,-3.25,mV,0.0,mV,-0.07,mV,1,mV,1,mV
10.36128,s,0.0,mV,-3.25,mV,0.0,mV,-0.07,mV,1,mV,1,mV
10.46328,s,0.0,mV,-3.24,mV,0.0,mV,-0.07,mV,1,mV,1,mV
10.56768,s,0.0,mV,-3.24,mV,0.0,mV,-0.07,mV,1,mV,1,mV
10.67015,s,0.0,mV,-3.24,mV,0.0,mV,-0.07,mV,1,mV,1,mV
10.77175,s,0.0,mV,-3.24,mV,0.0,mV,-0.07,mV,1,mV,1,mV
10.87424,s,0.0,mV,-3.24,mV,0.0,mV,-0.07,mV,1,mV,1,mV
10.97605,s,0.0,mV,-3.24,mV,0.0,mV,-0.07,mV,1,mV,1,mV
11.07725,s,0.0,mV,-3.25,mV,0.0,mV,-0.07,mV,1,mV,1,mV
11.18427,s,0.0,mV,-3.25,mV,0.0,mV,-0.07,mV,1,mV,1,mV
11.2862,s,0.0,mV,-3.24,mV,0.0,mV,-0.07,mV,1,mV,1,mV
11.38783,s,0.0,mV,-3.24,mV,0.0,mV,-0.07,mV,1,mV,1,mV
11.48858,s,0.0,mV,-3.24,mV,0.0,mV,-0.07,mV,1,mV,1,mV
11.58981,s,0.0,mV,-3.24,mV,0.0,mV,-0.07,mV,1,mV,1,mV
11.69175,s,0.0,mV,-3.25,mV,0.0,mV,-0.07,mV,1,mV,1,mV
11.79326,s,0.0,mV,-3.25,mV,0.0,mV,-0.07,mV,1,mV,1,mV
